"Meshcode","Shicode","PopT","Pop0_14","Pop15_64","Pop65over","Pop75over","Pop85over"
6341402068,1205,133.3438,18.5782,66.8217,47.6442,15.8814,2.3972
6341402069,1205,10.4890,1.4614,5.2563,3.7477,1.2492,0.1886
6341402072,1205,17.7705,0.0000,1.0202,16.7502,16.7444,12.7218
6341402073,1205,51.5810,0.7260,5.8177,45.0373,44.1966,33.5350
6341402074,1205,7.4119,1.0875,4.7791,1.5453,0.2862,0.0572
6341402076,1205,6.9719,1.4085,2.9074,2.6560,1.9698,1.1897
6341402077,1205,46.8377,6.7270,24.5633,15.4056,8.8383,3.9327
6341402078,1205,39.3832,5.4871,19.7358,14.0717,4.6906,0.7080
6341402079,1205,59.4035,8.6882,33.1425,17.2261,5.5678,0.6826
6341402082,1205,10.7762,1.5811,6.9484,2.2468,0.4161,0.0832
6341402083,1205,33.4487,4.9075,21.5673,6.9739,1.2915,0.2583
6341402084,1205,48.2715,7.0823,31.1249,10.0643,1.8638,0.3728
6341402087,1205,6.0108,0.9529,3.9583,1.0262,0.2932,0.0000
6341402088,1205,15.4498,2.4494,10.1742,2.6378,0.7536,0.0000
6341402089,1205,27.3508,4.3361,18.0115,4.6696,1.3342,0.0000
6341402091,1205,65.0828,8.3439,46.7261,10.0127,1.6688,0.0000
6341402092,1205,35.3517,4.9476,23.7394,6.6647,1.1974,0.1732
6341402093,1205,63.2294,9.2769,40.7696,13.1830,2.4413,0.4883
6341402094,1205,68.4796,10.0472,44.1548,14.2776,2.6440,0.5288
6341402095,1205,38.4143,7.9268,15.8535,14.6340,10.9755,6.7073
6341402099,1205,0.2065,0.0327,0.1360,0.0353,0.0101,0.0000
6341402100,1205,66.7576,4.3185,43.7253,17.4541,7.5575,1.7994
6341402101,1205,39.7142,2.5691,26.0123,10.3835,4.4959,1.0705
6341402102,1205,45.1518,3.2318,27.9854,12.9484,5.6033,1.1023
6341402103,1205,61.3894,5.0408,34.7453,19.9831,8.6413,1.2602
6341402104,1205,64.5106,5.2971,36.5119,20.9991,9.0807,1.3243
6341402105,1205,57.8853,4.0152,30.1137,19.5739,11.5436,4.0152
6341402106,1205,55.4561,3.8467,28.8500,18.7525,11.0592,3.8467
6341402107,1205,80.5903,4.5080,38.4722,35.8129,23.0913,10.1262
6341402108,1205,59.4784,3.1694,27.8904,27.6791,18.0654,8.1347
6341402109,1205,97.6113,5.2013,45.7716,45.4248,29.6475,13.3500
6341402110,1205,68.8637,4.4548,45.1048,18.0048,7.7959,1.8562
6341402111,1205,86.6555,5.6057,56.7582,22.6566,9.8101,2.3357
6341402112,1205,32.5369,2.4372,19.6132,9.7290,4.2091,0.7544
